Industry Description,Number of establishments,Total employment,Paid employees,Total income,Total expense,Compensation,Other expense,Value of output,Intermediate expense,Value added,Gross addition to tangible fixed assets,Change in inventories,Subsidies,Sales from e-commerce transactions
"Manufacture of man-made filament tow or staple fibers, except glass fiber",s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of drugs and medicines including biological products such as bacterial and virus vaccines, sera and plasma",84,13704,13666,70911473,63510389,7169673,56340716,50486418,23918276,15245831,3233323,-1194681,0,0
"Manufacture of surgical dressings, medicated wadding , fracture bandages, catgut, and other prepared sutures",3,480,480,496656,445774,66274,379501,484568,318912,131031,0,-22633,0,0
Manufacture of rubber tires (including parts) and tubes,7,3793,3758,17483426,15850325,1338320,14512005,16743618,10482664,5686767,2492309,-478227,0,0
Retreading and rebuilding of tires,3,131,129,103459,90541,18574,71968,89599,50897,35423,2067,-1239,0,0
Manufacture of rubber garments,3,162,162,100190,85108,29214,55894,106614,56089,46803,4746,5275,0,0
"Manufacture of industrial and other molded rubber products, excluding tires and tubes",56,7615,7612,10095229,9300092,1559114,7740978,9860319,6199821,2956115,271054,139814,644,0
"Manufacture of other rubber products, n.e.c.",20,1305,1305,2065447,1602815,187401,1415413,2000240,1229529,664146,10937,-249,0,0
"Manufacture of plastic articles for packing goods (e.g. boxes, bags, sacks, etc)",252,24108,23980,57677799,55651873,5291033,50360840,57163617,44090806,10321282,1043181,-805677,97945,0
Manu facture of plastic household wares,42,2650,2650,6866804,6359291,692961,5666330,6902781,5264513,1320214,88993,7471,0,0
Manufacture of plastic furniture fittings,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Manufacture of plastic pipes and tubes,38,3727,3700,12071736,11201775,896662,10305114,11962683,9028646,2160942,64299,-203182,1990,0
"Manufacture of other plastic, industrial /office/school supplies",53,8209,8202,13888160,12705738,2043176,10662562,12921118,8215448,3884297,704048,-600468,0,0
"Manufacture of primary plastic products (e.g. sheets, film, plates, etc.)",12,644,644,1974779,2010683,142741,1867942,1958652,1554914,312397,20968,61208,0,0
Manufacture of linoleum and hard surface floor coverings,s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of plastic window and door screen, shades and venetian blinds",10,690,690,1354557,1284545,115066,1169479,1399639,1105325,222524,44484,9613,0,0
"Manufacture of plastics products, n.e.c.",81,6982,6980,9590729,9009717,1218037,7791680,9643016,6875884,2253167,273838,14343,0,0
Manufacture of flat glass (including float glass),10,995,995,4437963,4943598,490142,4453456,4209532,3185054,508052,419,-397858,0,0
Manufacture of glass containers,6,1228,1228,9515615,7937820,950207,6987613,9231907,4475405,3986246,492060,-264460,0,0
Manufacture of glass fibers (including glass wool) and yarn of glass fibers,11,1502,1492,1837651,1787436,288916,1498519,1820575,1242650,425230,27797,42424,0,0
"Manufacture of glass and glass products, n.e.c.",12,570,564,851329,837543,109277,728266,872017,669005,158071,22871,4895,0,0
Manufacture of refractory products,3,222,222,291872,232256,52716,179540,245120,76539,122682,761,8167,0,0
Manufacture of clay building materials,10,2949,2949,5334845,4562009,408203,4153806,5384065,2841401,1833497,376725,-133657,0,0
Manufacture of vitreous china tableware and other kitchen articles of a kind commonly used for domestic or toilet purposes,s,s,s,s,s,s,s,s,s,s,s,s,s,s
"Manufacture of articles of porcelain or china, stoneware, earthenware, imitation porcelain or common pottery",s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of coarse clay products,7,841,841,597402,561001,164660,396341,596794,329224,212913,-710,6225,0,0
"Manufacture of sanitary ware, vitreous china plumbing fittings and fixtures",6,8360,8359,33835782,29258999,1676761,27582238,34039421,26655299,7123355,585127,345295,0,0
"Manufacture of other porcelain and ceramic products, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Manufacture of cement,17,4254,4248,86802595,70697151,4655135,66042016,86024334,45933058,29404049,2164851,450291,90647,0
Manufacture of lime,6,294,294,1280942,1161508,37710,1123799,1276931,891797,300354,36333,-62858,0,0
Manufacture of structural concrete products,99,6565,6494,19950075,18066368,1287853,16778515,19841431,15066891,3991454,555219,220371,0,0
"Manufacture of articles of concrete, cement and plaster, n.e.c.",8,379,379,2130601,1824792,168995,1655796,1921430,1029567,593298,0,-16814,0,0
"Cutting, shaping and finishing of stone",8,583,582,1885944,1676685,135656,1541029,1886126,1090060,435479,430,-43011,0,0
Manufacture of asphalt products,8,751,748,2070320,1687378,192049,1495328,1667872,1143018,678087,41723,16941,0,0
Manufacture of asbestos products,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Manufacture of marble products,6,199,199,131099,89978,20531,69447,124630,53983,65322,220,-4568,0,0
Manufacture of abrasive products,3,547,547,1017919,1004849,113698,891151,1004355,817228,156371,21951,-2516,0,0
"Manufacture of miscellaneous non-metallic mineral products, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c,c
Operation of blast furnaces and steel making furnaces,50,4720,4720,65401928,62480120,1464164,61015956,65858407,60997932,3247525,813353,-1466567,0,0
