industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of waxes and polishing preparations,15178,2015,B,3,24,24,17141.00,17646.00,3457.00,14189.00,16912.00,11234.00,4252.00,0.00,-3217.00,0.00,0.00
"Manufacture of prosthetic appliances, artificial teeth made to order",15390,2015,A,5,559,559,244331.00,244013.00,91573.00,152440.00,246180.00,115973.00,105437.00,1816.00,7212.00,0.00,0.00
"Manufacture of needles (except for knitting and sewing machines), pins and fasteners including zippers",15262,2015,A,3,726,683,1240378.00,1126830.00,127016.00,999815.00,1185362.00,799332.00,275515.00,-9000.00,-40990.00,0.00,0.00
Manu facture of plastic household wares,15196,2015,A,42,2650,2650,6866804.00,6359291.00,692961.00,5666330.00,6902781.00,5264513.00,1320214.00,88993.00,7471.00,0.00,0.00
Manufacture of fruit and vegetable sauces (e.g. tomato sauce and paste),1513,2015,B,9,127,110,96577.00,91930.00,15022.00,76908.00,98203.00,75504.00,21687.00,0.00,5290.00,0.00,0.00
Bookbinding and related work,15151,2015,B,11,85,70,43377.00,38995.00,8238.00,30757.00,43377.00,26177.00,14153.00,0.00,4329.00,0.00,0.00
"Manufacture of domestic cooking appliances (e.g. ovens, ranges, cookers, stoves, grillers, etc.)",15298,2015,A,4,305,305,1835737.00,1679613.00,191573.00,1488041.00,1812253.00,1286893.00,401093.00,37544.00,-43145.00,0.00,0.00
Drying of fish and other marine products,154,2015,B,54,546,407,84896.00,70328.00,14369.00,55959.00,83163.00,55260.00,27808.00,347.00,-52.00,0.00,0.00
"Manufacture of wire nails, not in steel rolling",15258,2015,A,8,392,392,1495031.00,1381524.00,54499.00,1327025.00,1524539.00,1309156.00,184826.00,448.00,194160.00,0.00,0.00
Manufacture of coarse clay products,15212,2015,A,7,841,841,597402.00,561001.00,164660.00,396341.00,596794.00,329224.00,212913.00,-710.00,6225.00,0.00,0.00
"Manufacture of perfumes, cosmetics and other toilet preparations",15179,2015,B,35,318,318,786748.00,737583.00,56743.00,680840.00,787727.00,611789.00,120940.00,4333.00,15948.00,0.00,0.00
Manufacture of plastic materials except man-made fiber and glass fiber,15168,2015,A,4,334,334,281958.00,257260.00,59031.00,198228.00,281079.00,152342.00,98321.00,18526.00,7220.00,0.00,0.00
Manufacture of inorganic salts and compounds,15160,2015,B,5,55,55,171154.00,171369.00,9874.00,161495.00,176336.00,151956.00,12012.00,0.00,12622.00,0.00,0.00
"Manufacture of unprepared animal feeds from fish, crustaceans and mollusks and other aquatic animals",159,2015,A,6,360,360,4204584.00,3945647.00,105729.00,3839918.00,4178452.00,3329702.00,563001.00,91420.00,21681.00,0.00,0.00
"Manufacture of miscellaneous fabricated metal products, n.e.c.",15264,2015,A,100,7757,7717,12380883.00,11842810.00,1783477.00,10059333.00,11863630.00,8477372.00,2621082.00,274434.00,-192065.00,0.00,8412.00
Manufacture of sporting gloves and mitts,15381,2015,B,6,61,59,33690.00,30754.00,5565.00,25189.00,33553.00,21547.00,10486.00,2248.00,-9.00,0.00,0.00
Manufacture of embroidered fabrics,1593,2015,B,16,141,141,124374.00,126225.00,30697.00,95529.00,118946.00,69317.00,41576.00,0.00,-9902.00,0.00,0.00
